TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;4,84;;-10,50;0,69;0,26;27,98;10,49;-5,65;5,66;9,82;4,17;0,51;0,59;-58,45;-0,35;0,98;-6,53;-2,46;6,81;0,38;0,61;0,43;2,55;;336.752,48;7,06;-0,46;0,14;737.419.892,88
ABCB4;20,54;9,47;5,16;0,78;0,08;19,82;11,61;9,52;4,23;4,23;;;0,49;-3,50;-0,08;0,34;15,05;1,59;;0,11;0,89;0,17;35,11;14,38;14.583.949,76;26,45;3,98;0,26;5.025.251.842,78
ABEV3;13,47;6,85;14,71;2,25;1,44;51,46;24,69;15,74;9,38;8,62;-0,76;-0,18;2,32;50,46;-2,05;1,11;15,27;9,80;17,40;0,64;0,35;0,62;11,20;4,14;250.821.220,81;6,00;0,92;-29,74;212.309.274.043,32
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,35;;-0,27;2,43;0,13;10,79;-63,54;-81,51;-0,35;-2,31;-1,96;13,58;0,22;-30,69;-0,21;0,99;-889,48;-46,89;-47,60;0,05;0,95;0,58;12,70;;348.948,33;1,79;-15,89;0,00;270.222.852,60
AESB3;8,12;;-16,19;1,17;0,37;26,76;21,13;-10,72;8,21;18,23;10,02;1,42;1,74;-6,64;-0,42;0,67;-7,21;-2,28;4,73;0,32;0,63;0,21;;;13.684.494,00;6,96;-0,50;0,01;6.973.842.690,64
AFLT3;7,13;6,02;17,22;1,87;1,27;54,38;48,60;34,47;12,22;12,42;0,20;0,03;5,94;9,41;-1,69;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;1.711,67;3,81;0,41;-2,41;449.793.911,00
AGRO3;20,32;7,66;6,74;0,96;0,53;39,38;29,46;22,84;5,23;8,38;3,15;0,58;1,54;4,51;-0,77;1,58;14,27;7,79;9,29;0,55;0,45;0,34;13,78;11,82;2.565.868,48;21,13;3,02;0,22;2.086.527.582,08
AGXY3;6,09;;-0,04;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;66.972,14;-118,43;-172,09;0,00;103.344.687,39
AHEB3;35,50;;2,63;1,25;0,55;17,28;12,60;16,64;3,48;2,92;-0,59;-0,21;0,44;1,73;-1,01;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;24.798,00;28,40;13,48;0,31;305.960.568,50
AHEB5;58,00;;4,30;2,04;0,90;17,28;12,60;16,64;5,68;2,92;-0,59;-0,21;0,72;2,82;-1,65;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;0,00;28,40;13,48;0,51;305.960.568,50
AHEB6;55,00;;4,08;1,94;0,85;17,28;12,60;16,64;5,39;2,92;-0,59;-0,21;0,68;2,68;-1,56;3,30;47,45;20,82;23,17;0,44;0,56;1,25;44,62;;5.500,00;28,40;13,48;0,49;305.960.568,50
ALLD3;6,95;18,66;5,95;0,41;0,19;12,00;3,42;2,08;3,62;4,38;0,75;0,09;0,12;0,59;-0,65;1,86;6,90;3,22;8,54;0,47;0,53;1,54;8,27;1,88;160.941,67;16,95;1,17;-0,20;656.825.338,85
ALOS3;21,26;5,17;13,39;0,86;0,43;74,10;59,06;31,40;7,12;5,22;-1,90;-0,23;4,20;4,48;-0,51;2,87;6,42;3,24;11,12;0,51;0,47;0,10;29,82;108,22;66.196.814,95;24,74;1,59;0,19;11.542.838.685,34
ALPA3;7,64;1,27;26,69;1,29;0,82;44,69;3,36;4,58;36,37;36,97;-1,44;-0,05;1,22;3,10;-1,60;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;30.967,48;5,93;0,29;-0,24;5.510.614.179,13
ALPA4;8,49;1,25;29,66;1,43;0,91;44,69;3,36;4,58;40,42;36,97;-1,44;-0,05;1,36;3,45;-1,78;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;7.292.855,67;5,93;0,29;-0,27;5.510.614.179,13
ALPK3;3,03;;-143,30;1,90;0,27;33,20;13,58;-0,28;2,95;8,63;5,67;3,65;0,40;-2,29;-0,32;0,58;-1,33;-0,19;12,18;0,14;0,85;0,67;7,96;;220.533,33;1,59;-0,02;1,56;657.582.795,75
ALUP11;29,46;2,95;8,59;1,14;0,31;71,15;71,29;26,72;3,22;6,19;2,97;1,05;2,30;2,83;-0,39;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;18.878.483,67;25,84;3,43;0,15;9.710.807.501,82
